filename,species_id,tree_H
09_17165.laz,-999,11.3978
12_17261.laz,-999,21.6743
02_22016.laz,-999,16.1061
04_15350.laz,-999,15.8506
01_23094.laz,-999,16.5656
07_7318.laz,-999,11.3857
10_13347.laz,-999,21.9999
09_15463.laz,-999,16.9266
13_19444.laz,-999,13.7873
12_16206.laz,-999,19.1341
04_16326.laz,-999,13.5714
04_15621.laz,-999,13.0412
04_16152.laz,-999,10.6759
13_18742.laz,-999,20.0294
09_17805.laz,-999,15.8753
07_7744.laz,-999,6.5894
11_12156.laz,-999,22.8521
04_15672.laz,-999,13.0144
03_16284.laz,-999,16.191
04_16749.laz,-999,12.250600000000002
11_12187.laz,-999,13.8431
11_12954.laz,-999,20.0618
11_11684.laz,-999,11.1286
09_14978.laz,-999,19.3001
03_15546.laz,-999,17.0237
11_13128.laz,-999,19.6992
62_7950.laz,-999,14.4701
03_15151.laz,-999,20.2746
04_15529.laz,-999,15.5027
10_11254.laz,-999,25.454600000000003
04_15571.laz,-999,7.819000000000001
01_22344.laz,-999,18.8959
09_17233.laz,-999,7.173500000000001
09_16436.laz,-999,17.2256
62_8916.laz,-999,17.3722
04_15711.laz,-999,7.5417
09_18886.laz,-999,11.9407
14_15898.laz,-999,15.5195
11_9743.laz,-999,16.6592
04_16236.laz,-999,10.6623
02_26960.laz,-999,17.4582
02_20781.laz,-999,20.0188
02_26981.laz,-999,21.8
02_26905.laz,-999,17.907899999999998
02_26871.laz,-999,16.2147
02_26977.laz,-999,14.667600000000002
02_22398.laz,-999,17.0648
02_20764.laz,-999,22.9901
02_26928.laz,-999,14.5136
02_26927.laz,-999,21.0935
14_11850.laz,-999,22.0318
02_20986.laz,-999,25.4721
02_26889.laz,-999,19.212
02_20578.laz,-999,25.7151
02_26993.laz,-999,13.1597
02_26936.laz,-999,19.1253
02_26872.laz,-999,19.634300000000003
02_26931.laz,-999,23.3162
63_7232.laz,-999,11.2929
02_26940.laz,-999,19.559800000000003
02_26945.laz,-999,21.4828
02_26966.laz,-999,16.7575
02_26869.laz,-999,20.826400000000003
02_22103.laz,-999,19.6242
02_26986.laz,-999,18.9791
03_17009.laz,-999,16.9985
03_16376.laz,-999,18.0042
03_14284.laz,-999,20.9704
03_15678.laz,-999,22.8284
62_7933.laz,-999,19.831200000000003
03_17161.laz,-999,19.2249
09_13615.laz,-999,15.2671
17_9453.laz,-999,19.2677
10_8815.laz,-999,23.7707
03_14954.laz,-999,17.4141
14_10708.laz,-999,21.648200000000003
03_15574.laz,-999,15.4026
04_16588.laz,-999,13.1901
01_22181.laz,-999,13.4301
14_11334.laz,-999,23.2079
14_14312.laz,-999,18.913
03_15981.laz,-999,14.991
10_8260.laz,-999,24.9458
14_10555.laz,-999,18.905500000000004
11_10437.laz,-999,19.975900000000003
03_14135.laz,-999,12.0695
02_20852.laz,-999,26.4524
63_7087.laz,-999,18.4836
02_20984.laz,-999,14.0181
64_6621.laz,-999,12.5509
06_11520.laz,-999,17.1676
06_11648.laz,-999,14.6126
06_11919.laz,-999,16.5049
13_21059.laz,-999,16.2746
13_21280.laz,-999,14.7777
13_21443.laz,-999,15.3642
13_21959.laz,-999,14.9453
62_10115.laz,-999,6.369800000000001
62_9686.laz,-999,9.3793
